"id","user_id","created_at","volume_usd"
"0002d4752b84","e5628fad",2023-12-27 16:38:09.784601,54.2471620914706
"000635ac8daf","7940eb65",2023-11-16 18:00:26.743051,211.67344030791
"0015a7666c9a","2913bfb6",2023-12-09 16:17:05.511726,239.949356908214
"001f2a448929","622157d2",2024-06-30 02:35:22.114844,342.81899615009
"003af72aaa31","8d7bf4f9",2024-08-23 03:45:26.768765,159.896435186757
"003b21444fc0","a4e9728f",2024-07-27 20:10:14.176654,267.961840906565
"003d0d57041b","2508c117",2024-03-21 18:34:08.677979,135.37718027899
"00434f314296","1fba2248",2023-10-03 23:32:49.742392,115.057912245527
"004515ac5dbb","11c0f78c",2024-01-11 17:25:17.581898,73.5025750594419
"00491400d317","59be7f4a",2024-05-06 23:59:17.190344,165.335967057975
"00493b147496","2ef20c8d",2023-05-11 02:33:31.141219,122.254162925171
"004dc140fd7a","4ac7516a",2024-01-29 22:28:05.760601,76.8591005963981
"005129e13dc3","debef48d",2024-06-15 17:59:32.415755,63.2802339250655
"0055af71d38a","9e6dd7dd",2023-07-15 01:19:23.072961,516.111910724472
"005a3a055c13","f77fa9cd",2023-11-10 21:22:17.447608,281.656768780684
"005ae3a54087","9368662b",2024-08-05 14:19:19.025795,123.446632795592
"006231b39b47","db850828",2024-07-22 16:03:11.344364,131.585041264214
"0064e891f7d5","4a5600cd",2023-07-01 09:41:09.472137,65.2044465347521
"0067fbd7e07e","c9ab26d2",2024-07-02 02:24:55.721358,65.5920658730263
"006a1bfb5dc2","7623e592",2024-02-07 13:48:07.14746,235.287201607332
"006f07147fe0","08a097e8",2023-11-02 23:35:08.225273,34.365566934761
"006ff267045d","39955063",2024-04-29 09:02:33.270887,330.718049864227
"0072506aa97d","ab58f6d3",2024-05-27 23:03:36.098245,112.244423968299
"007281176382","efa06098",2023-05-21 16:25:53.25215,169.217548221126
"00765eb0704b","08a097e8",2024-02-29 12:42:45.123472,88.6904416907606
"007f6eeef5cb","b5e6197a",2024-06-11 19:52:35.247673,464.26546721336
"008d89872947","08a097e8",2023-08-21 18:41:57.020629,71.2396329233329
"0094fddc84d1","0fb5fe98",2024-08-31 06:14:46.643686,47.3776030411776
"009e4b272252","9ea66161",2023-11-10 18:04:57.399387,236.12765202376
"009f98b3a1a9","70e46c58",2024-06-14 06:27:21.76757,445.477246898088
"00a078c6ca2f","e5db8d41",2024-03-18 23:27:00.052831,23.0723303981517
"00a5badf8554","331f6697",2024-01-24 14:14:47.07683,59.499380725043
"00a5d6c82860","1b65aae4",2024-08-02 09:23:05.124156,101.48854927764
"00abb3d3a1e9","f12a5121",2024-05-21 21:29:01.439561,86.5753453429464
"00af9110178a","1fba2248",2024-04-26 02:04:07.993427,140.353417409545
"00b1b4876cdf","2fa72784",2024-01-07 11:06:38.174775,227.364938897214
"00b36deb21a3","913496bb",2023-10-21 15:21:11.325787,72.6855540382
"00b423392d58","e184d0b5",2024-05-15 23:25:43.26807,246.003690431094
"00b7c35cc2aa","6dadc0a5",2023-12-03 08:46:33.435599,7876.91765781631
"00c075607002","c6d46e83",2024-06-05 05:09:15.023448,111.994142115406
"00ca91bf2521","21646360",2024-05-04 07:05:33.697355,140.374520104299
"00ce7e5004cf","08e3968c",2024-05-10 12:40:16.735883,85.4460656980341
"00ceb864aa48","aec24a49",2023-08-09 04:51:26.168581,122.1615792204
"00d62fab9366","53dd6a22",2023-08-29 05:25:58.452466,43.6117088431149
"00d6faae3e1a","351d2cb5",2023-12-18 08:28:39.958297,44.2193681089486
"00e44614f122","16d444d1",2023-12-02 09:38:59.022705,117.424142180195
"00ec286cf93f","7b8b8fd8",2024-07-04 01:03:03.18912,95.3564184244924
"00ed9a93a9e0","61142b9e",2023-06-10 21:04:49.28344,168.506973553496
"00edde7d64f2","0fb5fe98",2024-01-03 08:16:41.483272,51.6273646413034
"00ee5affe063","4152867c",2023-09-09 13:45:19.118956,351.568119198065
"00ee5d3b97d0","213b9a2d",2023-11-27 14:48:40.957322,132.280149058306
"00f7bad6686a","ab58f6d3",2023-10-22 04:27:00.333447,39.3658741047378
"00fc30598ff9","f2e4fb5e",2024-07-26 21:29:52.380097,211.110736601796
"010754c23653","5f24ea13",2024-02-24 16:59:16.784951,129.806126945468
"0108f3e12ab6","db061c1d",2023-03-13 20:32:47.378212,55.0832474513044
"010c2a62b8d1","e289df7e",2023-07-27 09:21:12.015951,188.96252594286
"01118e7823b7","069c5772",2024-02-02 10:03:52.669267,267.110677326478
"0117de37c2ce","0fb5fe98",2024-01-01 08:59:49.22577,188.00824939734
"011ca1f5def1","98c0b353",2024-02-19 20:25:00.272245,182.424785705453
"0122d1ef1acf","4c48cabc",2024-05-21 01:38:12.122299,239.092349493247
"0123a8c97d8c","08a097e8",2023-05-11 20:28:14.849357,70.7017544327752
"0124acce134b","78c54c83",2023-12-25 09:42:54.399465,138.943631256933
"01284a4ccd9c","7cc32ef3",2023-12-06 00:57:53.450122,234.603437036734
"0129e01ab126","1df03c21",2024-03-13 08:51:17.334657,136.2229254434
"012e4d30661f","07c67d0e",2024-02-28 12:40:51.363343,102.268139007052
"013453be5e7e","ab58f6d3",2024-04-24 15:04:52.539444,53.7485270307341
"013cd4b8a691","389f4930",2023-04-04 02:03:56.887818,230.140223430973
"013d10b4ac85","0278ab8e",2024-05-18 12:09:16.614662,112.374051286181
"014bfbdc2971","f081f854",2024-06-28 12:47:27.94332,27.0157498601366
"01570e63fd2d","dd45cc0a",2024-02-24 16:04:36.550773,171.370541612844
"015824f69391","492362d5",2024-04-09 19:03:44.017052,372.59711895688
"0159e62fb7d5","bf69364f",2024-08-05 20:29:11.592066,140.266451422174
"015c3df54dc8","df92c8b0",2024-06-20 16:42:23.339567,536.788168130909
"01610ce57875","6c1eea86",2024-03-22 10:01:32.233351,93.3412652680433
"016463888c8e","d113ca6c",2024-08-14 01:05:13.979656,208.978476791957
"016b310a4e8a","bf69364f",2023-10-15 00:51:24.222557,263.307841989324
"016bdb6f1648","f6600800",2023-10-04 07:28:13.095021,4.91758845307506
"0176bf9d61d5","e9680c61",2024-05-16 15:42:21.241616,93.1406137589411
"018014c03c8c","7623e592",2024-05-10 15:20:05.131383,241.490017628784
"0182d73b684b","4d90e7b5",2024-02-20 23:23:26.326543,64.5483429120745
"0186766530f3","03061a61",2024-02-18 17:19:31.342134,194.987550952814
"018bac14a0df","7de468e5",2023-05-23 17:22:31.536885,51.8267469936028
"018eaefe5de2","759b2f7a",2024-05-23 12:30:12.680283,51.4006839990503
"0194f8d0d462","02a4d5c7",2024-04-23 21:09:43.481518,32.3787296264771
"019aa78b96b9","30e10d67",2024-06-09 16:35:14.322613,390.752721191402
"01a2d2017bd4","252d504e",2024-06-26 06:52:50.616778,45.7412188698741
"01a2ec05f90c","28da2384",2023-05-16 12:24:02.7333,34.9940319639495
"01a3aab631aa","d40b62be",2023-06-15 02:07:57.29919,18.1527587008963
"01aa2a82895a","39b7c649",2024-07-31 15:19:45.647891,588.12987022909
"01ad93d5aa3c","f3b645f2",2024-03-21 01:13:30.90655,167.251221051019
"01b0620dfdfa","2e13f66f",2023-05-12 20:10:40.964408,39.9164773972637
"01c18ceaf48c","36a30549",2024-05-21 21:50:53.444828,73.6892984157098
"01d0810fb062","f2e4fb5e",2024-06-17 04:29:41.146337,145.752883520759
"01d4f2f49dbf","0e2a7287",2024-01-27 21:18:37.459466,225.820845873382
"01f098b1cb1f","ab58f6d3",2024-04-10 02:57:43.090757,84.0360082538908
"01f3a2418ef3","c03f5bed",2024-05-15 14:38:01.632519,178.32785872725
"01f6753fd590","2b4e4766",2024-01-21 14:12:26.563223,114.468194227659
"01f8afe2eb3e","aaa77ebf",2024-08-03 08:58:32.292385,56.2085978445828
"01f9ee948867","354ac976",2024-07-26 12:15:18.233001,204.972919650759
"01fc90d9d1a7","fa094a04",2023-11-04 13:45:24.653039,101.441506527257
"01fed1c98c6a","75c5c5ec",2023-11-12 16:06:06.540149,133.843588825926
"01ff87f7318a","984e49ed",2023-09-04 17:10:09.356247,41.6141229763253
